                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                 1.6548,                 2.0804,                 2.0107,                0.52544,                0.39454,                0.39086,                0.16958,                 1.9576,                 2.4924,                 2.4644,              0.0010438,              0.0010438,              0.0010438
                    102,                 1.6425,                 2.0476,                 2.0339,                0.40382,                0.42953,                0.37335,                0.15688,                 1.9157,                 2.3256,                  2.465,              0.0010417,              0.0010417,              0.0010417
                    103,                 1.7112,                 2.0673,                 2.0759,                0.39564,                0.45227,                0.36184,                0.16362,                 1.9734,                  2.457,                 2.4412,              0.0010396,              0.0010396,              0.0010396
                    104,                 1.6342,                 2.1225,                 2.0096,                0.37498,                0.46749,                0.36282,                0.17098,                 1.9227,                 2.4732,                  2.402,              0.0010376,              0.0010376,              0.0010376
                    105,                 1.6099,                 2.0861,                 2.0032,                0.37039,                0.40793,                0.36884,                 0.1559,                 2.0475,                   2.36,                 2.5368,              0.0010355,              0.0010355,              0.0010355
                    106,                 1.6718,                 2.0636,                 2.0069,                0.51198,                 0.3473,                0.37134,                0.16608,                 2.0012,                 2.3693,                 2.5053,              0.0010334,              0.0010334,              0.0010334
                    107,                 1.6373,                 2.0716,                 2.0208,                0.50656,                0.45406,                0.43765,                0.18684,                 1.8521,                 2.3657,                 2.3328,              0.0010314,              0.0010314,              0.0010314
                    108,                 1.6406,                 2.0182,                 2.0076,                0.51953,                0.47822,                0.46505,                0.20264,                 1.9387,                 2.1245,                 2.4004,              0.0010293,              0.0010293,              0.0010293
                    109,                 1.6477,                 1.9587,                  1.985,                 0.4523,                0.51939,                0.42802,                0.19848,                 1.8857,                 2.1719,                 2.3986,              0.0010273,              0.0010273,              0.0010273
                    110,                 1.6355,                 1.9877,                 1.9961,                0.51154,                 0.4661,                 0.4333,                0.17544,                 2.0028,                 2.2818,                 2.5254,              0.0010252,              0.0010252,              0.0010252
                    111,                 1.5996,                 1.9049,                 1.9784,                0.49261,                  0.424,                0.41759,                0.19166,                 1.9731,                 2.2833,                 2.5097,              0.0010231,              0.0010231,              0.0010231
                    112,                 1.6128,                 1.9769,                 1.9902,                0.58921,                 0.4173,                0.43483,                0.18656,                 2.0351,                 2.4406,                 2.5362,              0.0010211,              0.0010211,              0.0010211
                    113,                 1.6347,                 2.0211,                 2.0185,                0.37264,                0.44737,                0.38066,                0.15805,                 1.9693,                 2.3018,                 2.4723,               0.001019,               0.001019,               0.001019
                    114,                 1.6353,                 1.9777,                 1.9888,                 0.4058,                0.44653,                0.41553,                0.18913,                 1.9658,                 2.2459,                 2.4675,              0.0010169,              0.0010169,              0.0010169
                    115,                  1.664,                 1.9404,                 2.0297,                0.51936,                0.38054,                0.35532,                0.16366,                 1.9543,                 2.3665,                 2.4734,              0.0010149,              0.0010149,              0.0010149
                    116,                 1.6449,                 2.0259,                 2.0136,                0.50082,                0.47742,                 0.4707,                0.19403,                 1.9994,                 2.2208,                 2.4548,              0.0010128,              0.0010128,              0.0010128
                    117,                 1.6579,                 2.0076,                  2.038,                0.50732,                0.47718,                 0.4349,                 0.1789,                 2.0298,                 2.2817,                 2.5187,              0.0010107,              0.0010107,              0.0010107
                    118,                 1.6165,                 1.9929,                 1.9785,                0.51672,                0.41532,                0.43157,                0.19657,                 1.9583,                 2.2972,                 2.4512,              0.0010087,              0.0010087,              0.0010087
                    119,                 1.6143,                 1.9524,                 1.9969,                0.62405,                0.39981,                0.45439,                0.20437,                  1.926,                 2.2469,                 2.4058,              0.0010066,              0.0010066,              0.0010066
                    120,                 1.6267,                 1.9612,                 1.9954,                0.57366,                0.41783,                0.45535,                0.20306,                 1.9479,                 2.2278,                  2.443,              0.0010046,              0.0010046,              0.0010046
                    121,                 1.5859,                 1.8816,                 1.9479,                0.60543,                 0.5404,                0.47816,                0.20432,                 1.9193,                 2.2174,                 2.4337,              0.0010025,              0.0010025,              0.0010025
                    122,                 1.6083,                 1.9445,                 1.9845,                0.41147,                0.50675,                0.40271,                0.18377,                 1.9617,                 2.2739,                 2.4626,              0.0010004,              0.0010004,              0.0010004
